Member,Name,PartyState,bioguide,LastName,FirstName,Party,State,State_Abbrev
"Barrett, William A. (Democratic - Pennsylvania)","Barrett, William A.",Democratic - Pennsylvania,B000178,Barrett, William A.,Democratic,Pennsylvania,PA
"Barrow, John (Democratic - Georgia)","Barrow, John",Democratic - Georgia,B001252,Barrow, John,Democratic,Georgia,GA
"Bartlett, Dewey F. (Republican - Oklahoma)","Bartlett, Dewey F.",Republican - Oklahoma,B000200,Bartlett, Dewey F.,Republican,Oklahoma,OK
"Bartlett, Roscoe G. (Republican - Maryland)","Bartlett, Roscoe G.",Republican - Maryland,B000208,Bartlett, Roscoe G.,Republican,Maryland,MD
"Bartlett, Steve (Republican - Texas)","Bartlett, Steve",Republican - Texas,B000204,Bartlett, Steve,Republican,Texas,TX
"Barton, Joe (Republican - Texas)","Barton, Joe",Republican - Texas,B000213,Barton, Joe,Republican,Texas,TX
"Bass, Charles F. (Republican - New Hampshire)","Bass, Charles F.",Republican - New Hampshire,B000220,Bass, Charles F.,Republican,New Hampshire,NH
"Bass, Karen (Democratic - California)","Bass, Karen",Democratic - California,B001270,Bass, Karen,Democratic,California,CA
"Bateman, Herbert H. (Republican - Virginia)","Bateman, Herbert H.",Republican - Virginia,B000229,Bateman, Herbert H.,Republican,Virginia,VA
"Bates, Jim (Democratic - California)","Bates, Jim",Democratic - California,B000236,Bates, Jim,Democratic,California,CA
"Baucus, Max (Democratic - Montana)","Baucus, Max",Democratic - Montana,B000243,Baucus, Max,Democratic,Montana,MT
"Bauman, Robert E. (Republican - Maryland)","Bauman, Robert E.",Republican - Maryland,B000244,Bauman, Robert E.,Republican,Maryland,MD
"Bayh, Birch (Democratic - Indiana)","Bayh, Birch",Democratic - Indiana,B000254,Bayh, Birch,Democratic,Indiana,IN
"Bayh, Evan (Democratic - Indiana)","Bayh, Evan",Democratic - Indiana,B001233,Bayh, Evan,Democratic,Indiana,IN
"Beall, J. Glenn, Jr. (Republican - Maryland)","Beall, J. Glenn, Jr.",Republican - Maryland,B000272,Beall," J. Glenn, Jr.",Republican,Maryland,MD
"Bean, Melissa L. (Democratic - Illinois)","Bean, Melissa L.",Democratic - Illinois,B001253,Bean, Melissa L.,Democratic,Illinois,IL
"Beard, Edward (Democratic - Rhode Island)","Beard, Edward",Democratic - Rhode Island,B000279,Beard, Edward,Democratic,Rhode Island,RI
"Beard, Robin (Republican - Tennessee)","Beard, Robin",Republican - Tennessee,B000280,Beard, Robin,Republican,Tennessee,TN
"Beatty, Joyce (Democratic - Ohio)","Beatty, Joyce",Democratic - Ohio,B001281,Beatty, Joyce,Democratic,Ohio,OH
"Beauprez, Bob (Republican - Colorado)","Beauprez, Bob",Republican - Colorado,B001240,Beauprez, Bob,Republican,Colorado,CO
"Becerra, Xavier (Democratic - California)","Becerra, Xavier",Democratic - California,B000287,Becerra, Xavier,Democratic,California,CA
"Bedell, Berkley W. (Democratic - Iowa)","Bedell, Berkley W.",Democratic - Iowa,B000298,Bedell, Berkley W.,Democratic,Iowa,IA
"Begich, Mark (Democratic - Alaska)","Begich, Mark",Democratic - Alaska,B001265,Begich, Mark,Democratic,Alaska,AK
"Beilenson, Anthony C. (Democratic - California)","Beilenson, Anthony C.",Democratic - California,B000318,Beilenson, Anthony C.,Democratic,California,CA
"Bell, Alphonzo (Republican - California)","Bell, Alphonzo",Republican - California,B000330,Bell, Alphonzo,Republican,California,CA
"Bell, Chris (Democratic - Texas)","Bell, Chris",Democratic - Texas,B001241,Bell, Chris,Democratic,Texas,TX
"Bellmon, Henry L. (Republican - Oklahoma)","Bellmon, Henry L.",Republican - Oklahoma,B000351,Bellmon, Henry L.,Republican,Oklahoma,OK
"Benedict, Cleve (Republican - West Virginia)","Benedict, Cleve",Republican - West Virginia,B000358,Benedict, Cleve,Republican,West Virginia,WV
"Benishek, Dan (Republican - Michigan)","Benishek, Dan",Republican - Michigan,B001271,Benishek, Dan,Republican,Michigan,MI
"Benitez, Jamie (Democratic - Puerto Rico)","Benitez, Jamie",Democratic - Puerto Rico,B000362,Benitez, Jamie,Democratic,Puerto Rico,
"Benjamin, Adam, Jr. (Democratic - Indiana)","Benjamin, Adam, Jr.",Democratic - Indiana,B000363,Benjamin," Adam, Jr.",Democratic,Indiana,IN
"Bennet, Michael F. (Democratic - Colorado)","Bennet, Michael F.",Democratic - Colorado,B001267,Bennet, Michael F.,Democratic,Colorado,CO
"Bennett, Charles E. (Democratic - Florida)","Bennett, Charles E.",Democratic - Florida,B000371,Bennett, Charles E.,Democratic,Florida,FL
"Bennett, Robert F. (Republican - Utah)","Bennett, Robert F.",Republican - Utah,B000382,Bennett, Robert F.,Republican,Utah,UT
"Bennett, Wallace F. (Republican - Utah)","Bennett, Wallace F.",Republican - Utah,B000384,Bennett, Wallace F.,Republican,Utah,UT
"Bentivolio, Kerry L. (Republican - Michigan)","Bentivolio, Kerry L.",Republican - Michigan,B001280,Bentivolio, Kerry L.,Republican,Michigan,MI
"Bentley, Helen Delich (Republican - Maryland)","Bentley, Helen Delich",Republican - Maryland,B000392,Bentley, Helen Delich,Republican,Maryland,MD
"Bentsen, Ken (Democratic - Texas)","Bentsen, Ken",Democratic - Texas,B000400,Bentsen, Ken,Democratic,Texas,TX
"Bentsen, Lloyd M. (Democratic - Texas)","Bentsen, Lloyd M.",Democratic - Texas,B000401,Bentsen, Lloyd M.,Democratic,Texas,TX
"Bera, Ami (Democratic - California)","Bera, Ami",Democratic - California,B001287,Bera, Ami,Democratic,California,CA
"Bereuter, Doug (Republican - Nebraska)","Bereuter, Doug",Republican - Nebraska,B000403,Bereuter, Doug,Republican,Nebraska,NE
"Berg, Rick (Republican - North Dakota)","Berg, Rick",Republican - North Dakota,B001272,Berg, Rick,Republican,North Dakota,ND
"Bergland, Bob (Republican - Minnesota)","Bergland, Bob",Republican - Minnesota,B000408,Bergland, Bob,Republican,Minnesota,MN
"Bergman, Jack (Republican - Michigan)","Bergman, Jack",Republican - Michigan,B001301,Bergman, Jack,Republican,Michigan,MI
"Berkley, Shelley (Democratic - Nevada)","Berkley, Shelley",Democratic - Nevada,B001231,Berkley, Shelley,Democratic,Nevada,NV
"Berman, Howard L. (Democratic - California)","Berman, Howard L.",Democratic - California,B000410,Berman, Howard L.,Democratic,California,CA
"Berry, Marion (Democratic - Arkansas)","Berry, Marion",Democratic - Arkansas,B000420,Berry, Marion,Democratic,Arkansas,AR
"Bethune, Ed (Republican - Arkansas)","Bethune, Ed",Republican - Arkansas,B000422,Bethune, Ed,Republican,Arkansas,AR
"Bevill, Tom (Democratic - Alabama)","Bevill, Tom",Democratic - Alabama,B000431,Bevill, Tom,Democratic,Alabama,AL
"Beyer, Donald S., Jr. (Democratic - Virginia)","Beyer, Donald S., Jr.",Democratic - Virginia,B001292,Beyer," Donald S., Jr.",Democratic,Virginia,VA
"Biaggi, Mario (Democratic - New York)","Biaggi, Mario",Democratic - New York,B000432,Biaggi, Mario,Democratic,New York,NY
"Bible, Alan (Democratic - Nevada)","Bible, Alan",Democratic - Nevada,B000436,Bible, Alan,Democratic,Nevada,NV
"Biden, Joseph R., Jr. (Democratic - Delaware)","Biden, Joseph R., Jr.",Democratic - Delaware,B000444,Biden," Joseph R., Jr.",Democratic,Delaware,DE
"Biester, Edward G., Jr. (Republican - Pennsylvania)","Biester, Edward G., Jr.",Republican - Pennsylvania,B000451,Biester," Edward G., Jr.",Republican,Pennsylvania,PA
"Biggert, Judy (Republican - Illinois)","Biggert, Judy",Republican - Illinois,B001232,Biggert, Judy,Republican,Illinois,IL
"Biggs, Andy (Republican - Arizona)","Biggs, Andy",Republican - Arizona,B001302,Biggs, Andy,Republican,Arizona,AZ
"Bilbray, Brian P. (Republican - California)","Bilbray, Brian P.",Republican - California,B000461,Bilbray, Brian P.,Republican,California,CA
"Bilbray, James H. (Democratic - Nevada)","Bilbray, James H.",Democratic - Nevada,B000462,Bilbray, James H.,Democratic,Nevada,NV
"Bilirakis, Gus M. (Republican - Florida)","Bilirakis, Gus M.",Republican - Florida,B001257,Bilirakis, Gus M.,Republican,Florida,FL
"Bilirakis, Michael (Republican - Florida)","Bilirakis, Michael",Republican - Florida,B000463,Bilirakis, Michael,Republican,Florida,FL
"Bingaman, Jeff (Democratic - New Mexico)","Bingaman, Jeff",Democratic - New Mexico,B000468,Bingaman, Jeff,Democratic,New Mexico,NM
"Bingham, Jonathan B. (Democratic - New York)","Bingham, Jonathan B.",Democratic - New York,B000472,Bingham, Jonathan B.,Democratic,New York,NY
"Bishop, Mike (Republican - Michigan)","Bishop, Mike",Republican - Michigan,B001293,Bishop, Mike,Republican,Michigan,MI
"Bishop, Rob (Republican - Utah)","Bishop, Rob",Republican - Utah,B001250,Bishop, Rob,Republican,Utah,UT
"Bishop, Sanford D., Jr. (Democratic - Georgia)","Bishop, Sanford D., Jr.",Democratic - Georgia,B000490,Bishop," Sanford D., Jr.",Democratic,Georgia,GA
"Bishop, Timothy H. (Democratic - New York)","Bishop, Timothy H.",Democratic - New York,B001242,Bishop, Timothy H.,Democratic,New York,NY
"Black, Diane (Republican - Tennessee)","Black, Diane",Republican - Tennessee,B001273,Black, Diane,Republican,Tennessee,TN
"Blackburn, Ben (Republican - Georgia)","Blackburn, Ben",Republican - Georgia,B000506,Blackburn, Ben,Republican,Georgia,GA
"Blackburn, Marsha (Republican - Tennessee)","Blackburn, Marsha",Republican - Tennessee,B001243,Blackburn, Marsha,Republican,Tennessee,TN
