,id.bioguide,handle,state,district,type,party,name.last
87,C000542,sendancoats,IN,None,sen,Republican,Coats
88,C001077,repmikecoffman,CO,6.0,rep,Republican,Coffman
89,C001068,repcohen,TN,9.0,rep,Democrat,Cohen
90,C001053,tomcoleok04,OK,4.0,rep,Republican,Cole
91,C001062,conawaytx11,TX,11.0,rep,Republican,Conaway
92,C001078,gerryconnolly,VA,11.0,rep,Democrat,Connolly
93,C000714,repjohnconyers,MI,13.0,rep,Democrat,Conyers
94,C000754,repjimcooper,TN,5.0,rep,Democrat,Cooper
95,C001059,repjimcosta,CA,16.0,rep,Democrat,Costa
96,C001069,repjoecourtney,CT,2.0,rep,Democrat,Courtney
97,C000880,mikecrapo,ID,None,sen,Republican,Crapo
98,C001087,reprickcrawford,AR,1.0,rep,Republican,Crawford
99,C001045,andercrenshaw,FL,4.0,rep,Republican,Crenshaw
100,C001038,repjoecrowley,NY,14.0,rep,Democrat,Crowley
101,C001063,repcuellar,TX,28.0,rep,Democrat,Cuellar
102,C001048,congculberson,TX,7.0,rep,Republican,Culberson
103,C000984,repcummings,MD,7.0,rep,Democrat,Cummings
104,D000096,repdannydavis,IL,7.0,rep,Democrat,Davis
105,D000598,repsusandavis,CA,53.0,rep,Democrat,Davis
106,D000191,reppeterdefazio,OR,4.0,rep,Democrat,DeFazio
107,D000197,repdianadegette,CO,1.0,rep,Democrat,DeGette
108,D000216,rosadelauro,CT,3.0,rep,Democrat,DeLauro
109,D000612,repjeffdenham,CA,10.0,rep,Republican,Denham
110,D000604,,PA,15.0,rep,Republican,Dent
111,D000616,desjarlaistn04,TN,4.0,rep,Republican,DesJarlais
112,D000610,repteddeutch,FL,21.0,rep,Democrat,Deutch
113,D000600,mariodb,FL,25.0,rep,Republican,Diaz-Balart
114,D000399,replloyddoggett,TX,35.0,rep,Democrat,Doggett
115,D000607,sendonnelly,IN,None,sen,Democrat,Donnelly
116,D000482,usrepmikedoyle,PA,14.0,rep,Democrat,Doyle
117,D000614,repseanduffy,WI,7.0,rep,Republican,Duffy
118,D000615,repjeffduncan,SC,3.0,rep,Republican,Duncan
119,D000533,repjohnduncanjr,TN,2.0,rep,Republican,Duncan
120,E000290,repdonnaedwards,MD,4.0,rep,Democrat,Edwards
121,E000288,keithellison,MN,5.0,rep,Democrat,Ellison
122,E000291,repreneeellmers,NC,2.0,rep,Republican,Ellmers
123,E000179,repeliotengel,NY,16.0,rep,Democrat,Engel
124,E000215,repannaeshoo,CA,18.0,rep,Democrat,Eshoo
125,F000460,farenthold,TX,27.0,rep,Republican,Farenthold
126,F000030,repsamfarr,CA,20.0,rep,Democrat,Farr
127,F000458,repfinchertn08,TN,8.0,rep,Republican,Fincher
128,F000451,repfitzpatrick,PA,8.0,rep,Republican,Fitzpatrick
129,F000444,jeffflake,AZ,None,sen,Republican,Flake
130,F000459,repchuck,TN,3.0,rep,Republican,Fleischmann
131,F000456,repfleming,LA,4.0,rep,Republican,Fleming
132,F000461,repbillflores,TX,17.0,rep,Republican,Flores
133,F000445,randy_forbes,VA,4.0,rep,Republican,Forbes
134,F000449,jefffortenberry,NE,1.0,rep,Republican,Fortenberry
135,F000450,virginiafoxx,NC,5.0,rep,Republican,Foxx
136,F000448,reptrentfranks,AZ,8.0,rep,Republican,Franks
137,F000372,usreprodney,NJ,11.0,rep,Republican,Frelinghuysen
138,F000455,repmarciafudge,OH,11.0,rep,Democrat,Fudge
139,G000559,repgaramendi,CA,3.0,rep,Democrat,Garamendi
140,G000562,sencorygardner,CO,None,sen,Republican,Gardner
141,G000548,repgarrett,NJ,5.0,rep,Republican,Garrett
142,G000563,repbobgibbs,OH,7.0,rep,Republican,Gibbs
143,G000564,repchrisgibson,NY,19.0,rep,Republican,Gibson
144,G000552,replouiegohmert,TX,1.0,rep,Republican,Gohmert
145,G000289,repgoodlatte,VA,6.0,rep,Republican,Goodlatte
146,G000565,repgosar,AZ,4.0,rep,Republican,Gosar
147,G000566,tgowdysc,SC,4.0,rep,Republican,Gowdy
148,G000377,repkaygranger,TX,12.0,rep,Republican,Granger
149,G000386,chuckgrassley,IA,None,sen,Republican,Grassley
