All,Name,Party,State,bioguide
"Cook, Paul (Republican - California)","Cook, Paul ",Republican , California),C001094
"Corman, James C. (Democratic - California)","Corman, James C. ",Democratic , California),C000780
"Correa, J. Luis (Democratic - California)","Correa, J. Luis ",Democratic , California),C001110
"Costa, Jim (Democratic - California)","Costa, Jim ",Democratic , California),C001059
"Cox, Christopher (Republican - California)","Cox, Christopher ",Republican , California),C000830
"Cranston, Alan (Democratic - California)","Cranston, Alan ",Democratic , California),C000877
"Danielson, George E. (Democratic - California)","Danielson, George E. ",Democratic , California),D000043
"Dannemeyer, William E. (Republican - California)","Dannemeyer, William E. ",Republican , California),D000044
"Davis, Susan A. (Democratic - California)","Davis, Susan A. ",Democratic , California),D000598
"Dellums, Ronald V. (Democratic - California)","Dellums, Ronald V. ",Democratic , California),D000222
"Denham, Jeff (Republican - California)","Denham, Jeff ",Republican , California),D000612
"DeSaulnier, Mark (Democratic - California)","DeSaulnier, Mark ",Democratic , California),D000623
"Dixon, Julian C. (Democratic - California)","Dixon, Julian C. ",Democratic , California),D000373
"Dooley, Calvin M. (Democratic - California)","Dooley, Calvin M. ",Democratic , California),D000424
"Doolittle, John T. (Republican - California)","Doolittle, John T. ",Republican , California),D000429
"Dornan, Robert K. (Republican - California)","Dornan, Robert K. ",Republican , California),D000435
"Dreier, David (Republican - California)","Dreier, David ",Republican , California),D000492
"Dymally, Mervyn M. (Democratic - California)","Dymally, Mervyn M. ",Democratic , California),D000592
"Edwards, Don (Democratic - California)","Edwards, Don ",Democratic , California),E000064
"Eshoo, Anna G. (Democratic - California)","Eshoo, Anna G. ",Democratic , California),E000215
"Farr, Sam (Democratic - California)","Farr, Sam ",Democratic , California),F000030
"Fazio, Vic (Democratic - California)","Fazio, Vic ",Democratic , California),F000053
"Feinstein, Dianne (Democratic - California)","Feinstein, Dianne ",Democratic , California),F000062
"Fiedler, Bobbi (Republican - California)","Fiedler, Bobbi ",Republican , California),F000102
"Filner, Bob (Democratic - California)","Filner, Bob ",Democratic , California),F000116
"Gallegly, Elton (Republican - California)","Gallegly, Elton ",Republican , California),G000021
"Garamendi, John (Democratic - California)","Garamendi, John ",Democratic , California),G000559
