,week1,week2,week3,week4,week5,week6,week7,week8,week9,handle
repbecerra,-30.206601,-40.4079683333,-17.2386933333,-5.43249246667,-4.29144325,-3.787882,-2.16768533333,-3.9034875,-12.66116625,repbecerra
repbenraylujan,,-22.1736073333,-62.4826,,-0.966387,,,,,repbenraylujan
repbera,-1.599225,-6.0840875,-0.923975,-0.939597,-1.96694,-13.861151,-0.677003566667,-0.00983662,-1.72477,repbera
repbetoorourke,-1.3184895,-3.245385,-0.557214915,-0.90791,-2.95041,-1.06667,-1.37562,-1.09759666667,-0.748092,repbetoorourke
repbillflores,14.664725,10.9657175,1.670367,4.7881125,17.92985,2.787425,7.29907,12.49202,11.865285,repbillflores
repbillfoster,-0.6100558868,-58.352024,-6.2036462,-3.14754,-1.9088588,-6.9861,-1.2017505,-2.308945,-5.742025,repbillfoster
repbilljohnson,3.22191033333,1.0303,4.13508,8.150629575,,7.32405,2.01258,0.047684,0.296599,repbilljohnson
repbillshuster,0.65347075,1.45512,1.37580033333,7.83061,1.03478,2.69239666667,1.17822,1.7037,2.00397,repbillshuster
repblainepress,6.0062275,16.231292,9.28160666667,18.5298766667,4.87174,11.7561,1.172445,5.29675,7.97029443615,repblainepress
repbobbyrush,,-270.786,-30.6797,-1.161955,,,,-8.6529,-1.89872,repbobbyrush
repbobbyscott,,,,,,-1.06667,,,,repbobbyscott
repbobgibbs,7.1224975,1.468802,-0.00438714,10.35815925,2.0,,,0.912281,,repbobgibbs
repbonamici,-8.2845825,-62.24095,-3.6247165,-14.1411075,-2.88984,-49.1573166667,-24.3373535,-1.96088,-7.684395,repbonamici
repbonnie,-50.781084,-55.518636,-64.7707,-59.5860525,-2.787722,-7.18585,-57.6422,-22.26295,-0.862385,repbonnie
repbost,2.44726375,1.35956066667,1.114624,,,,,,,repbost
repboustany,1.314222,0.571769,0.974576,9.514873,4.19265333333,,1.552931,0.796748,,repboustany
repbradashford,-1.33200342857,-0.859457142857,-1.23548633333,-1.65289,-5.73412333333,-0.0127521666667,-9.02155171429,-1.68808333333,-2.07550016667,repbradashford
repbradwenstrup,-0.317603033333,11.3333,13.3594,0.129049,0.333333,,1.661289,41.16575,15.9406,repbradwenstrup
repbrady,-1.51076333333,,,,-0.728736,-8.46856666667,-10.3945,,,repbrady
repbrendanboyle,-1.630106,-7.58792833333,-2.0699352,-6.5473575,-3.7856,-3.99236566667,-1.1919196,-19.4830166667,-1.43550233333,repbrendanboyle
repbrianbabin,2.600034,6.18018,0.9222855,4.932613,1.03478,0.993688,0.154166,0.912281,7.8411215,repbrianbabin
repbrianhiggins,-5.5334046,-50.6681205,-1.48359666667,-14.4074245,-2.014159,-3.261025,-0.12520075,-2.411525,-0.4554886325,repbrianhiggins
repbuddycarter,1.37997,7.13405,-2.29316,0.3597021,2.3071735,3.646495,,2.32012,4.94845,repbuddycarter
repbyrne,3.688259,17.2593685714,21.695625,11.6142081714,12.86225906,6.83744116667,6.8246124,6.8000746,11.46605,repbyrne
repcardenas,-9.85918285714,-37.8185783333,-7.61463142857,-12.2674221667,-1.50950847267,-19.87875,-3.16128,-2.34782,-40.00347,repcardenas
repcartwright,,,,,,,,-1.09615,,repcartwright
repcheri,0.94022925,-47.904342,-1.738065,-36.5972,-26.0,-11.740669,-0.73194813,-8.0352134,-0.38571014,repcheri
repchriscollins,2.3603845,0.876916333333,1.047829,0.5985105,2.256545,,1.003615,19.1231,4.094325,repchriscollins
repchrisgibson,,,1.25,,,,,,,repchrisgibson
repchrissmith,1.688006694,0.7948375,1.72170325,27.53535,1.06055766667,6.189615,0.880795056,2.87644,2.40207333333,repchrissmith
repchrisstewart,6.26916333333,4.71915,5.99789,2.904485,2.74108,2.097246,,15.03636,,repchrisstewart
repchuck,0.578167666667,3.23154666667,4.56565,0.996661,0.333333,,1.50415733333,0.7435588,-1.36815,repchuck
repcicilline,-70.6032578,-110.0227625,-61.80428,-45.7547,-30.5785333333,-26.079672,-18.0891533333,-25.9259025,-45.09795,repcicilline
repcleaver,-6.3020876,-194.11,-8.202654,-32.020135,-0.1192925,0.375556,-18.2483175,-3.68411,-9.614692325,repcleaver
repcohen,-11.3916245,-48.42999,-11.027258,-25.3313466667,-23.5508716667,-7.175284,-22.966448,-23.4758775,-11.61736,repcohen
repcomstock,1.86097357143,2.48829733333,1.38039728571,1.17947483333,-0.188811,0.92419875,1.06167533333,2.211808,1.92724,repcomstock
repcorrinebrown,,,,,,,,,,repcorrinebrown
repcuellar,,-3.032165,-3.18323333333,-0.949153,,,-0.52690859755,,,repcuellar
repcummings,-23.2187321667,-35.4268466667,-53.1246833333,-33.46946,-14.6471985,-21.3398,-47.067,-34.1922,-2.1639005,repcummings
repcurbelo,-2.81464333333,-1.39561616667,3.94550766667,8.9795896,3.090941,7.49815925,-7.4018825,1.870593,1.23539766667,repcurbelo
repcurtclawson,,-1.1656,,,3.88937333333,,,,,repcurtclawson
repdandonovan,1.095444,1.8893884,2.46402,2.73117175,2.05159,1.885913,2.33334,34.6748666667,3.47872,repdandonovan
repdankildee,-42.9841075,-9.01568,-49.7091125,-11.8283407,-2.4547175,-44.18955,,,,repdankildee
repdannydavis,,,,-0.0821828,,,,,-2.357615,repdannydavis
repdavebrat,-1.162219,5.15152,4.01086,16.6373933333,,2.19418,,22.4853,0.00548438615,repdavebrat
repdavejoyce,0.738331,4.07879,1.80073333333,10.0244733333,1.03478,1.79645,7.03748333333,7.6301915,16.8775,repdavejoyce
repdavetrott,,,8.7149,,,,0.00160328,0.75,,repdavetrott
repdavid,,,,,,,,,,repdavid
repdavideprice,-75.52395,-122.7215,-33.9252385,-34.27175,-21.21338,0.55113,-0.0095584,-5.86957,-28.1043,repdavideprice
repdavidrouzer,,0.774211,,6.346995,4.003875,10.2422,5.478405,2.55556,1.17055,repdavidrouzer
repdavidscott,,-3.14916,-2.53923666667,-13.413685,0.31313,,,,,repdavidscott
repdavidvaladao,2.12732,4.865515,0.890323,0.929032,-0.315945,1.08696,,1.401169,,repdavidvaladao
repdavidyoung,-8.37808214286,4.43739528571,1.68303014286,1.52132071429,2.37376857143,1.853682,1.66126857143,0.986043,0.0977514285714,repdavidyoung
repdebdingell,-20.873194,-6.21488,-15.0498051633,-22.8072136667,-2.68474,-0.92,-4.07993366667,-27.50754,-30.7778,repdebdingell
repdelbene,-11.9833645,-12.0687316667,-6.32274366667,-2.66991583333,-3.852715,-3.963374,-7.50693716667,-2.515986,-2.1108875,repdelbene
repdennisross,0.0565508,5.0990655,3.40307,25.5552197,1.68301,3.29127,,8.90055066667,5.79787,repdennisross
repdennyheck,,-300.145,-10.5279033333,-17.045025,,-18.14737,-16.686711,-40.5577,-62.14465,repdennyheck
repderekkilmer,-9.10406833333,2.18489,-2.076942,-17.3387143333,-10.2345355,-3.24,-2.33948,-1.06452,-2.24427,repderekkilmer
repdesantis,,1.28861866667,-20.007,8.36129,6.32088,3.14922,3.38306,4.25926,2.67346,repdesantis
repdesaulnier,-3.126625,-57.179384,-0.905202,-5.999949,-10.4443707143,-16.290622,-22.0881761667,-20.6397875,-43.771056,repdesaulnier
repdianadegette,-32.2668694,-42.6534228571,-46.286252,-24.21749614,-15.3802625,-15.5610633333,-50.6292,-1.706645,-68.523,repdianadegette
repdianeblack,2.97440833333,3.72759885714,7.829558,7.146729,2.420896,9.99150833333,5.29247333333,9.057695,3.2809,repdianeblack
repdinatitus,-10.2843916667,-44.1315242857,-9.03525525571,-10.8625857143,-8.06151142857,-15.757245,-8.96120383333,-11.2435454208,-10.583036,repdinatitus
repdlamborn,5.9655952,11.693546,6.1418,13.3438098,9.58053,2.528075,4.870545,0.41322795,13.4240702,repdlamborn
repdold,3.40091428571,2.99362171429,2.83534983333,3.29454588,5.959971,1.953038,2.17609,3.19957,2.58455785714,repdold
repdonaldpayne,-24.8573825,-93.3599666667,-69.663325,-49.6944,-13.593715,,,,-4.45744,repdonaldpayne
repdonbeyer,-23.8526714286,-66.5134471429,-14.846734,-10.5374638571,-15.0021328571,-28.29554,-24.389584,-16.2268614286,-25.7908866667,repdonbeyer
repdonnaedwards,-56.44879,-105.078647143,-63.2100157143,-57.5651942857,-37.8243333333,-53.0930671429,-27.95478,-42.72252,-46.0220314286,repdonnaedwards
repdonyoung,-3.50596,,,,,,,,,repdonyoung
repdougcollins,,1.4430515,0.7915655,1.05357,,,,1.71884,1.806975,repdougcollins
repduckworth,-2.87244328571,-30.8147153333,-9.086106,-5.631834,-0.5963422,-3.64694333333,-2.78900266667,-2.491215,-0.6368835,repduckworth
