url	Account Group	Account Group_link	Avatar Action	Avatar Action_alt	Avatar Action_link	Full Name	Full Name_link	Username Dir	Username Dir_link	Username Dir_filename	Bio Dir Block	Bio Dir Link	Bio Dir Link_link
https://twitter.com/cspan/lists/new-members-of-congress/members	Congresswoman TenneyVerified account @RepTenney	https://twitter.com/RepTenney	https://pbs.twimg.com/profile_images/816663265216499712/cb1XowD7_normal.jpg		https://twitter.com/RepTenney	Congresswoman Tenney	https://twitter.com/RepTenney	RepTenney	https://twitter.com/RepTenney	Username Dir/RepTenney.ac00d7542be657e763dc442476626a32.html	Official Twitter account of Rep. Claudia Tenney. Honored to represent #NY22 in the 115th Congress.	#NY22	https://twitter.com/hashtag/NY22?src=hash
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Jimmy PanettaVerified account @RepJimmyPanetta	https://twitter.com/RepJimmyPanetta	https://pbs.twimg.com/profile_images/827208718618132481/Z6uQa-l__normal.jpg		https://twitter.com/RepJimmyPanetta	Rep. Jimmy Panetta	https://twitter.com/RepJimmyPanetta	RepJimmyPanetta	https://twitter.com/RepJimmyPanetta	Username Dir/RepJimmyPanetta.886628d2bdc9632b71d7ff22675612d1.html	I'm honored to serve as the Congressman for California's Central Coast (CA-20) in the U.S. House of Representatives.		
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep Stephanie MurphyVerified account @RepStephMurphy	https://twitter.com/RepStephMurphy	https://pbs.twimg.com/profile_images/816058647100981249/G2IfqP6E_normal.jpg		https://twitter.com/RepStephMurphy	Rep Stephanie Murphy	https://twitter.com/RepStephMurphy	RepStephMurphy	https://twitter.com/RepStephMurphy	Username Dir/RepStephMurphy.8d3522be74f198ac4ad1182884bc6b80.html	U.S. Congresswoman Stephanie Murphy - fighting for progress and proudly representing Seminole & Orange Counties in the U.S. House of Representatives. #FL07	#FL07	https://twitter.com/hashtag/FL07?src=hash
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Roger MarshallVerified account @RepMarshall	https://twitter.com/RepMarshall	https://pbs.twimg.com/profile_images/817488350898749440/GPFITYuT_normal.jpg		https://twitter.com/RepMarshall	Rep. Roger Marshall	https://twitter.com/RepMarshall	RepMarshall	https://twitter.com/RepMarshall	Username Dir/RepMarshall.689e7c112d7abd3ab53c56bbda955675.html	"Physician, Congressman representing Kansas' Big 1st District"		
https://twitter.com/cspan/lists/new-members-of-congress/members	Rep. Michael CapuanoVerified account @RepMikeCapuano	https://twitter.com/RepMikeCapuano	https://pbs.twimg.com/profile_images/747855038681325569/Nci26Yq4_normal.jpg		https://twitter.com/RepMikeCapuano	Rep. Michael Capuano	https://twitter.com/RepMikeCapuano	RepMikeCapuano	https://twitter.com/RepMikeCapuano	Username Dir/RepMikeCapuano.de060312da88a002ed2bd0bba405026b.html	Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://www.facebook.com/RepMichaelCapuano/ …	https://www.facebook.com/RepMichaelCapuano/ …	https://t.co/W9wgyLij84
https://twitter.com/cspan/lists/new-members-of-congress/members	Darin LaHoodVerified account @RepLaHood	https://twitter.com/RepLaHood	https://pbs.twimg.com/profile_images/661241236267905024/TJeal_Xy_normal.jpg		https://twitter.com/RepLaHood	Darin LaHood	https://twitter.com/RepLaHood	RepLaHood	https://twitter.com/RepLaHood	Username Dir/RepLaHood.915b9a1190f6045d102317b7e6fb18b5.html	Proudly representing the 18th Congressional District of Illinois.		
https://twitter.com/cspan/lists/new-members-of-congress/members	Trent KellyVerified account @RepTrentKelly	https://twitter.com/RepTrentKelly	https://pbs.twimg.com/profile_images/611222491780923392/cyIB_DYw_normal.jpg		https://twitter.com/RepTrentKelly	Trent Kelly	https://twitter.com/RepTrentKelly	RepTrentKelly	https://twitter.com/RepTrentKelly	Username Dir/RepTrentKelly.9815b4b98b458243b68a98379d20c6f0.html	Proudly serving Mississippi's First Congressional District in the U.S. House of Representatives		
https://twitter.com/cspan/lists/new-members-of-congress/members	Donald NorcrossVerified account @DonaldNorcross	https://twitter.com/DonaldNorcross	https://pbs.twimg.com/profile_images/684805798489374720/_vCfpWrb_normal.jpg		https://twitter.com/DonaldNorcross	Donald Norcross	https://twitter.com/DonaldNorcross	DonaldNorcross	https://twitter.com/DonaldNorcross	Username Dir/DonaldNorcross.cdb00f159ce6c2203ef54cf76242e852.html	Representing New Jersey's 1st Congressional District in the United States House of Representatives		
https://twitter.com/cspan/lists/new-members-of-congress/members	Dan Donovan @dandonovan_ny	https://twitter.com/dandonovan_ny	https://pbs.twimg.com/profile_images/811310314709020675/hUbLVdHK_normal.jpg		https://twitter.com/dandonovan_ny	Dan Donovan	https://twitter.com/dandonovan_ny	dandonovan_ny	https://twitter.com/dandonovan_ny	Username Dir/dandonovan_ny.13ead55efe56a6120ed052b169e23074.html	Born & raised on the north shore of Staten Island. Proudly representing the 11th congressional district. Lucky dad to Aniella Rose.		
								RepPeteAguilar					
								SteveKnight25					
								RepGarretGraves					
								RepLeeZeldin					
								RepRobinKelly					
								RepSchneider					
								RepHuffman					
								SenDuckworth					
								SenatorHassan					
								RoKhanna					
								SenToddYoung					
								repdinatitus					
								RepDwightEvans					
								RepSmucker					
								KamalaHarris					
								RepPeteOlson					
								ChrisVanHollen					
